,Yellow,date,fifth,first,fourth,second,third
0,20,1/11/2019,69,4,62,5,31
1,5,1/8/2019,64,13,38,26,29
2,15,1/4/2019,60,21,54,29,35
3,14,1/1/2019,70,34,62,44,57
4,21,12/28/2018,38,9,37,10,25
5,6,12/25/2018,50,2,43,8,42
6,5,12/21/2018,70,10,62,13,61
7,9,12/18/2018,69,13,60,22,32
8,23,12/14/2018,49,5,43,22,26
9,12,12/11/2018,59,4,54,38,39
10,13,12/7/2018,57,4,33,10,20
11,4,12/4/2018,50,28,42,31,41
12,19,11/30/2018,63,25,43,28,40
13,18,11/27/2018,57,12,42,24,37
14,23,11/23/2018,59,7,33,10,30
15,10,11/20/2018,66,10,42,16,31
16,16,11/16/2018,69,33,68,36,63
17,11,11/13/2018,69,34,65,46,57
18,5,11/9/2018,67,8,57,14,27
19,12,11/6/2018,69,28,56,34,37
20,16,11/2/2018,62,3,46,23,28
21,23,10/30/2018,49,20,46,31,39
22,5,10/26/2018,63,1,62,28,61
23,5,10/23/2018,70,5,65,28,62
24,7,10/19/2018,70,15,65,23,53
25,9,10/16/2018,69,3,61,45,49
26,7,10/12/2018,70,4,61,24,46
27,18,10/9/2018,60,20,54,22,39
28,12,10/5/2018,69,27,41,28,32
29,1,10/2/2018,34,2,31,22,29
30,15,9/28/2018,59,39,56,45,52
31,12,9/25/2018,61,8,48,16,32
32,9,9/21/2018,64,1,52,2,11
33,17,9/18/2018,68,31,63,32,43
34,13,9/14/2018,66,23,43,30,40
35,19,9/11/2018,67,15,62,30,51
36,10,9/7/2018,68,8,54,10,41
37,3,9/4/2018,44,2,35,7,25
38,17,8/31/2018,45,7,32,18,29
39,20,8/28/2018,41,3,34,20,33
40,8,8/24/2018,49,1,18,6,13
41,11,8/21/2018,57,14,38,16,19
42,3,8/17/2018,56,1,47,31,32
43,11,8/14/2018,46,11,45,26,44
44,6,8/10/2018,42,1,22,3,12
45,2,8/7/2018,62,2,21,13,15
46,2,8/3/2018,60,9,54,28,30
47,9,7/31/2018,69,12,64,15,35
48,20,7/27/2018,63,1,49,32,40
49,20,7/24/2018,29,1,19,2,4
50,1,7/20/2018,62,1,44,14,30
51,12,7/17/2018,67,40,66,41,61
52,2,7/13/2018,68,21,59,22,39
53,14,7/10/2018,70,1,56,17,28
54,16,7/6/2018,56,2,50,10,46
55,23,7/3/2018,68,13,49,35,45
56,23,6/29/2018,68,2,49,32,47
57,19,6/26/2018,60,17,39,25,29
58,20,6/22/2018,44,2,27,6,11
59,14,6/19/2018,70,11,65,13,28
60,6,6/15/2018,51,1,47,11,37
61,3,6/12/2018,70,1,8,3,5
62,13,6/8/2018,56,14,44,30,33
63,4,6/5/2018,52,22,48,33,41
64,17,6/1/2018,66,5,62,24,52
65,2,5/29/2018,67,2,58,11,55
66,25,5/25/2018,68,11,64,14,51
67,9,5/22/2018,48,16,36,17,21
68,11,5/18/2018,66,9,64,26,53
69,21,5/15/2018,61,21,49,34,44
70,22,5/11/2018,70,14,53,38,40
71,13,5/8/2018,67,8,64,15,39
72,21,5/4/2018,18,4,12,5,10
73,1,5/1/2018,70,2,55,7,20
74,11,4/27/2018,66,2,63,29,38
75,10,4/24/2018,48,3,32,19,31
76,4,4/20/2018,45,1,32,15,18
77,22,4/17/2018,65,12,47,34,44
78,10,4/13/2018,59,8,42,9,32
79,20,4/10/2018,53,5,43,13,31
80,20,4/6/2018,67,16,54,33,51
81,14,4/3/2018,62,4,42,29,39
82,1,3/30/2018,59,11,46,28,31
83,13,3/27/2018,59,7,56,25,43
84,17,3/23/2018,59,4,53,8,23
85,9,3/20/2018,70,14,64,38,51
86,11,3/16/2018,52,1,33,13,26
87,17,3/13/2018,61,6,60,30,58
88,22,3/9/2018,66,7,46,17,18
89,22,3/6/2018,39,1,35,4,26
90,8,3/2/2018,64,24,60,28,42
91,23,2/27/2018,43,10,38,17,21
92,9,2/23/2018,58,7,19,11,13
93,14,2/20/2018,43,17,24,19,23
94,16,2/16/2018,58,14,53,38,48
95,1,2/13/2018,49,5,46,12,15
96,14,2/9/2018,47,28,46,34,41
97,25,2/6/2018,58,14,48,17,25
98,4,2/2/2018,40,1,17,4,14
99,24,1/30/2018,57,29,49,41,42
100,1,1/26/2018,43,10,38,16,27
101,7,1/23/2018,55,2,31,6,30
102,23,1/19/2018,66,3,49,17,23
103,18,1/16/2018,59,3,29,11,23
104,24,1/12/2018,60,17,46,18,33
105,23,1/9/2018,67,16,65,29,31
106,10,1/5/2018,70,28,59,30,39
107,22,1/2/2018,70,1,64,42,47
108,7,12/29/2017,62,4,28,10,18
109,25,12/26/2017,41,10,38,12,20
110,16,12/22/2017,42,1,33,20,30
111,2,12/19/2017,58,28,42,37,39
112,19,12/15/2017,57,4,44,12,36
113,9,12/12/2017,27,8,25,23,24
114,24,12/8/2017,70,6,60,37,46
115,22,12/5/2017,67,14,42,15,37
116,8,12/1/2017,59,16,41,22,40
117,5,11/28/2017,61,10,51,17,47
118,22,11/24/2017,64,16,61,36,54
119,3,11/21/2017,50,3,27,7,22
120,15,11/17/2017,70,3,58,26,55
121,19,11/14/2017,28,1,22,14,21
122,24,11/10/2017,58,6,42,23,38
123,11,11/7/2017,69,1,68,54,60
124,3,11/3/2017,69,10,61,22,42
125,12,10/31/2017,53,6,52,28,31
126,13,10/27/2017,52,17,51,27,41
127,6,10/24/2017,64,20,56,24,34
128,9,10/20/2017,73,6,66,23,63
129,11,10/17/2017,70,31,56,45,49
130,12,10/13/2017,31,2,26,7,18
131,2,10/10/2017,62,7,61,16,24
132,15,11/17/2017,70,3,58,26,55
133,19,11/14/2017,28,1,22,14,21
134,24,11/10/2017,58,6,42,23,38
135,11,11/7/2017,69,1,68,54,60
136,3,11/3/2017,69,10,61,22,42
137,12,10/31/2017,53,6,52,28,31
138,13,10/27/2017,52,17,51,27,41
139,6,10/24/2017,64,20,56,24,34
140,9,10/20/2017,73,6,66,23,63
141,11,10/17/2017,70,31,56,45,49
142,12,10/13/2017,31,2,26,7,18
143,2,10/10/2017,62,7,61,16,24
144,12,10/6/2017,56,21,45,33,36
145,7,10/3/2017,67,12,25,18,19
146,7,9/29/2017,74,25,73,51,62
147,4,9/26/2017,75,1,66,10,57
148,15,9/22/2017,66,5,63,39,54
149,10,9/19/2017,61,9,50,28,31
150,3,9/15/2017,58,18,38,24,34
151,3,9/12/2017,65,26,54,37,41
152,14,9/8/2017,73,4,26,5,14
153,1,9/5/2017,72,11,70,17,59
154,12,9/1/2017,64,4,50,13,31
155,3,8/29/2017,73,2,35,13,17
156,11,8/25/2017,65,17,51,38,42
157,7,8/22/2017,51,24,50,35,46
158,6,8/18/2017,75,1,40,31,34
159,7,8/15/2017,73,7,66,16,20
160,6,8/11/2017,58,23,56,33,53
161,14,8/8/2017,74,11,52,17,50
162,4,8/4/2017,71,9,63,17,25
163,7,8/1/2017,73,20,57,22,52
164,11,7/28/2017,52,4,49,6,31
165,6,7/25/2017,60,2,58,5,26
166,10,7/21/2017,74,18,50,31,36
167,6,7/18/2017,73,8,51,12,23
168,1,7/14/2017,73,11,32,12,24
169,10,7/11/2017,74,7,55,18,24
170,10,7/7/2017,60,2,28,9,11
171,15,7/4/2017,71,16,53,39,47
172,6,6/30/2017,64,10,55,38,51
173,14,6/27/2017,57,4,52,21,45
174,11,6/23/2017,74,12,66,20,53
175,3,6/20/2017,63,2,49,15,41
176,9,6/16/2017,44,18,30,22,26
177,8,6/13/2017,75,27,68,51,62
178,9,6/9/2017,37,3,33,16,28
179,5,6/6/2017,75,3,49,5,16
180,10,6/2/2017,72,7,69,42,57
181,5,5/30/2017,67,5,37,20,32
182,5,5/26/2017,56,25,37,26,28
183,14,5/23/2017,60,6,33,13,17
184,1,5/19/2017,30,1,24,4,5
185,11,5/16/2017,72,4,56,35,39
186,13,5/12/2017,47,28,42,34,41
187,11,5/9/2017,73,6,69,29,45
188,7,5/5/2017,53,4,47,23,33
189,1,5/2/2017,58,5,43,14,42
190,13,4/28/2017,31,6,20,13,18
191,2,4/25/2017,50,3,40,13,33
192,10,4/21/2017,34,1,32,12,13
193,6,4/18/2017,64,8,43,29,30
194,12,4/14/2017,73,5,60,10,55
195,8,4/11/2017,49,19,38,34,35
196,15,4/7/2017,69,30,47,33,43
197,9,4/4/2017,55,13,35,24,34
198,10,3/31/2017,58,17,32,24,27
199,10,3/28/2017,46,30,37,33,35
200,1,3/24/2017,69,5,61,28,37
201,7,3/21/2017,75,4,73,45,53
202,10,3/17/2017,60,11,58,27,31
203,13,3/14/2017,59,16,33,23,28
204,5,3/10/2017,70,26,58,38,42
205,11,3/7/2017,68,3,53,30,45
206,9,3/3/2017,51,14,48,26,39
207,4,2/28/2017,69,20,58,33,45
208,14,2/24/2017,68,12,42,29,33
209,9,2/21/2017,75,9,32,21,30
210,8,2/17/2017,75,4,67,56,58
211,15,2/14/2017,68,7,60,11,33
