Calendar_Date,Calendar_Year,Calendar_Month,Week_Number,DOW,Slot_01,Qty,,,Row Labels,Sum of Qty,,
01/11/19,2019,01,02,06,04,1,,,01,85,,
01/08/19,2019,01,02,03,13,1,,,02,99,,
01/04/19,2019,01,01,06,21,1,,,03,86,,
01/01/19,2019,01,01,03,34,1,,,04,88,,
12/28/18,2018,12,52,06,09,1,,,05,70,,
12/25/18,2018,12,52,03,02,1,,,06,87,,
12/21/18,2018,12,51,06,10,1,,,07,70,,
12/18/18,2018,12,51,03,13,1,,,08,70,,
12/14/18,2018,12,50,06,05,1,,,09,72,,
12/11/18,2018,12,50,03,04,1,,,10,99,,
12/07/18,2018,12,49,06,04,1,,,11,96,,
12/04/18,2018,12,49,03,28,1,,,12,85,,
11/30/18,2018,11,48,06,25,1,,,13,74,,
11/27/18,2018,11,48,03,12,1,,,14,85,,
11/23/18,2018,11,47,06,07,1,,,15,73,,
11/20/18,2018,11,47,03,10,1,,,16,80,,
11/16/18,2018,11,46,06,33,1,,,17,92,,
11/13/18,2018,11,46,03,34,1,,,18,79,,
11/09/18,2018,11,45,06,08,1,,,19,72,,
11/06/18,2018,11,45,03,28,1,,,20,101,,
11/02/18,2018,11,44,06,03,1,,,21,79,,
10/30/18,2018,10,44,03,20,1,,,22,77,,
10/26/18,2018,10,43,06,01,1,,,23,79,,
10/23/18,2018,10,43,03,05,1,,,24,81,,
10/19/18,2018,10,42,06,15,1,,,25,77,,
10/16/18,2018,10,42,03,03,1,,,26,75,,
10/12/18,2018,10,41,06,04,1,,,27,82,,
10/09/18,2018,10,41,03,20,1,,,28,99,,
10/05/18,2018,10,40,06,27,1,,,29,90,,
10/02/18,2018,10,40,03,02,1,,,30,84,,
09/28/18,2018,09,39,06,39,1,,,31,105,,
09/25/18,2018,09,39,03,08,1,,,32,82,,
09/21/18,2018,09,38,06,01,1,,,33,84,,
09/18/18,2018,09,38,03,31,1,,,34,84,,
09/14/18,2018,09,37,06,23,1,,,35,89,,
09/11/18,2018,09,37,03,15,1,,,36,85,,
09/07/18,2018,09,36,06,08,1,,,37,76,,
09/04/18,2018,09,36,03,02,1,,,38,101,,
08/31/18,2018,08,35,06,07,1,,,39,95,,
08/28/18,2018,08,35,03,03,1,,,40,84,,
08/24/18,2018,08,34,06,01,1,,,41,110,,
08/21/18,2018,08,34,03,14,1,,,42,87,,
08/17/18,2018,08,33,06,01,1,,,43,86,,
08/14/18,2018,08,33,03,11,1,,,44,92,,
08/10/18,2018,08,32,06,01,1,,,45,99,,
08/07/18,2018,08,32,03,02,1,,,46,115,,
08/03/18,2018,08,31,06,09,1,,,47,96,,
07/31/18,2018,07,31,03,12,1,,,48,119,,
07/27/18,2018,07,30,06,01,1,,,49,117,,
07/24/18,2018,07,30,03,01,1,,,50,108,,
07/20/18,2018,07,29,06,01,1,,,51,123,,
07/17/18,2018,07,29,03,40,1,,,52,98,,
07/13/18,2018,07,28,06,21,1,,,53,134,,
07/10/18,2018,07,28,03,01,1,,,54,103,,
07/06/18,2018,07,27,06,02,1,,,55,86,,
07/03/18,2018,07,27,03,13,1,,,56,127,,
06/29/18,2018,06,26,06,02,1,,,57,54,,
06/26/18,2018,06,26,03,17,1,,,58,61,,
06/22/18,2018,06,25,06,02,1,,,59,62,,
06/19/18,2018,06,25,03,11,1,,,60,52,,
06/15/18,2018,06,24,06,01,1,,,61,45,,
06/12/18,2018,06,24,03,01,1,,,62,67,,
06/08/18,2018,06,23,06,14,1,,,63,53,,
06/05/18,2018,06,23,03,22,1,,,64,54,,
06/01/18,2018,06,22,06,05,1,,,65,44,,
05/29/18,2018,05,22,03,02,1,,,66,72,,
